Hospital Name,Address,City,State,ZIP Code,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
MARY LANNING MEMORIAL HOSPITAL,715 N ST JOSEPH AVE,HASTINGS,NE,68901,15.6,14.8,13.2
THE NEBRASKA METHODIST HOSPITAL,8303 DODGE ST,OMAHA,NE,68114,14.8,11.1,12.4
ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,7500 MERCY RD,OMAHA,NE,68124,14.3,10.8,13.2
REGIONAL WEST MEDICAL CENTER,4021 AVE B,SCOTTSBLUFF,NE,69361,16.4,13.3,12.3
GREAT PLAINS REGIONAL MEDICAL CENTER,601 WEST LEOTA ST,NORTH PLATTE,NE,69101,16.5,12.5,11.2
OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),4101 WOOLWORTH AVENUE,OMAHA                         ,NE,68105,17.3,12.3,12.7
FREMONT AREA MEDICAL CENTER,450 EAST 23RD ST,FREMONT,NE,68025,16.4,10.6,13.3
ALEGENT HEALTH IMMANUEL MEDICAL CENTER,6901 NORTH 72ND ST,OMAHA,NE,68122,15.2,15.8,14.6
ALEGENT HEALTH MIDLANDS HOSPITAL,11111 SOUTH 84TH ST,PAPILLION,NE,68046,15.1,12,11.8
COLUMBUS COMMUNITY HOSPITAL,4600 38TH ST,COLUMBUS,NE,68601,14.9,14.3,11.1
FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,NE,68701,14,14.3,11.2
LINCOLN SURGICAL HOSPITAL,"1710 SOUTH 70TH ST, SUITE 200",LINCOLN,NE,68506,Not Available,Not Available,Not Available
NEBRASKA HEART HOSPITAL,7500 SOUTH 91ST ST,LINCOLN,NE,68526,14.6,9.5,Not Available
NEBRASKA ORTHOPAEDIC HOSPITAL,2808 SOUTH 143RD PLZ,OMAHA,NE,68144,Not Available,Not Available,Not Available
ALEGENT HEALTH LAKESIDE HOSPITAL,16901 LAKESIDE HILLS CT,OMAHA,NE,68130,16.5,11.7,12.4
MIDWEST SURGICAL HOSPITAL LLC,7915 FARNAM DRIVE,OMAHA,NE,68114,Not Available,Not Available,Not Available
BELLEVUE MEDICAL CENTER,2500 BELLEVUE MEDICAL CENTER DR,BELLEVUE,NE,68123,Not Available,10.2,12.5
"NEBRASKA SPINE HOSPITAL, LLC","6901 NORTH 72ND STREET, SUITE 20300",OMAHA,NE,68122,Not Available,Not Available,Not Available
HARLAN COUNTY HEALTH SYSTEM,"P O BOX 836, 717 NORTH BROWN ST",ALMA,NE,68920,Not Available,Not Available,11.6
FILLMORE COUNTY HOSPITAL,"P O BOX 193, 1900 F STREET",GENEVA,NE,68361,Not Available,11.1,12.5
PAWNEE COUNTY MEMORIAL HOSPITAL,"P O BOX 433, 600 I ST",PAWNEE CITY,NE,68420,Not Available,Not Available,Not Available
NIOBRARA VALLEY HOSPITAL,"P O BOX 118, 401 SOUTH 5TH STREET",LYNCH,NE,68746,Not Available,Not Available,Not Available
THAYER COUNTY HEALTH SERVICES,120 PARK AVE,HEBRON,NE,68370,Not Available,12.3,12.5
KIMBALL HEALTH SERVICES,505 SOUTH BURG ST,KIMBALL,NE,69145,Not Available,Not Available,11.2
KEARNEY COUNTY HEALTH SERVICES HOSPITAL,727 EAST 1ST ST,MINDEN,NE,68959,Not Available,Not Available,Not Available
SAUNDERS MEDICAL CENTER,1760 COUNTY RD J,WAHOO,NE,68066,Not Available,Not Available,13.1
HENDERSON HEALTH CARE SERVICES,1621 FRONT STREET,HENDERSON,NE,68371,Not Available,Not Available,13.8
COMMUNITY MEMORIAL HOSPITAL,"P O BOX N, 1579 MIDLAND ST",SYRACUSE,NE,68446,Not Available,Not Available,12.1
GARDEN COUNTY HEALTH SERVICES,1100 WEST 2ND ST,OSHKOSH,NE,69154,Not Available,Not Available,Not Available
FRANKLIN COUNTY MEMORIAL HOSPITAL,"P O BOX 315, 1406 Q ST",FRANKLIN,NE,68939,Not Available,Not Available,12.4
GENOA COMMUNITY HOSPITAL,"P O BOX 310, 606/706 EWING AVE",GENOA,NE,68640,Not Available,Not Available,Not Available
GOTHENBURG MEMORIAL HOSPITAL,910 20TH ST,GOTHENBURG,NE,69138,Not Available,Not Available,10.3
ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,"P O BOX 428, 531 BEEBE ST",OSCEOLA,NE,68651,Not Available,13.3,12.7
BRODSTONE MEMORIAL HOSP,"P O BOX 187, 520 EAST 10TH ST",SUPERIOR,NE,68978,Not Available,13,13.8
WEBSTER COUNTY COMMUNITY HOSPITAL,"P O BOX 465, 6TH AND FRANKLIN STS",RED CLOUD,NE,68970,Not Available,Not Available,12.2
TILDEN COMMUNITY HOSPITAL,"P O BOX 340, 308 WEST 2ND",TILDEN,NE,68781,Not Available,Not Available,10.9
MORRILL COUNTY COMMUNITY HOSPITAL,"P O BOX 579, 1313 S STREET",BRIDGEPORT,NE,69336,Not Available,Not Available,10.9
JEFFERSON COMMUNITY HEALTH CENTER,"P O BOX 277, 2200 H ST",FAIRBURY,NE,68352,Not Available,13.8,9.7
MEMORIAL HOSPITAL,1423 SEVENTH ST,AURORA,NE,68818,Not Available,Not Available,16
OAKLAND MERCY HOSPITAL,601 EAST SECOND ST,OAKLAND,NE,68045,Not Available,Not Available,13.8
ST FRANCIS MEMORIAL HOSPITAL,430 NORTH MONITOR ST,WEST POINT,NE,68788,Not Available,11.9,10.3
ALEGENT HEALTH MEMORIAL HOSPITAL,104 WEST 17TH ST,SCHUYLER,NE,68661,Not Available,Not Available,10.8
NEMAHA COUNTY HOSPITAL,2022  13TH ST,AUBURN,NE,68305,Not Available,Not Available,14.2
BROWN COUNTY HOSPITAL,945 EAST ZERO ST,AINSWORTH,NE,69210,Not Available,Not Available,11.9
ANTELOPE MEMORIAL HOSPITAL,"P O BOX 229, 102 WEST 9TH ST",NELIGH,NE,68756,Not Available,Not Available,9.8
COZAD COMMUNITY HOSPITAL,"P O BOX 108, 300 EAST 12TH ST",COZAD,NE,69130,Not Available,Not Available,12.9
LITZENBERG MEMORIAL COUNTY HOSPITAL,1715  26TH ST,CENTRAL CITY,NE,68826,Not Available,11.7,11
AVERA ST ANTHONY'S HOSPITAL,300 NORTH 2ND ST,O' NEILL,NE,68763,Not Available,11.3,12.2
WARREN MEMORIAL HOSPITAL,905 SECOND ST,FRIEND,NE,68359,Not Available,Not Available,Not Available
AVERA CREIGHTON HOSPITAL,"P O BOX 186, 1503 MAIN ST",CREIGHTON,NE,68729,Not Available,Not Available,12.3
BUTLER COUNTY HEALTH CARE CENTER,372 SOUTH 9TH ST,DAVID CITY,NE,68632,Not Available,12.6,12.4
ROCK COUNTY HOSPITAL,102 EAST SOUTH STREET,BASSETT,NE,68714,Not Available,Not Available,12.5
BOONE COUNTY HEALTH CENTER,"P O BOX 151, 723 WEST FAIRVIEW ST",ALBION,NE,68620,Not Available,11.4,13.1
CALLAWAY DISTRICT HOSPITAL,"P O BOX 100, 211 E KIMBALL ST",CALLAWAY,NE,68825,Not Available,Not Available,11.2
YORK GENERAL HOSPITAL,2222 LINCOLN AVE,YORK,NE,68467,Not Available,11.2,12.8
HOWARD COUNTY MEDICAL CENTER,"P O BOX 406, 1113 SHERMAN ST",ST PAUL,NE,68873,Not Available,Not Available,10.3
MEMORIAL HEALTH CARE SYSTEMS,300 NORTH COLUMBIA AVE,SEWARD,NE,68434,Not Available,13,10.8
DUNDY COUNTY HOSPITAL,"P O BOX 626, 1313 NORTH CHEYENNE ST",BENKELMAN,NE,69021,Not Available,Not Available,15.7
CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES,825 CENTENNIAL DRIVE,CHADRON,NE,69337,Not Available,12.8,14.4
ST MARY'S COMMUNITY HOSPITAL,1314  3RD AVE,NEBRASKA CITY,NE,68410,Not Available,Not Available,12.6
WEST HOLT MEMORIAL HOSPITAL,406 W NEELY ST,ATKINSON,NE,68713,Not Available,Not Available,11.9
CHERRY COUNTY HOSPITAL,"P O BOX 410, 510 NORTH GREEN ST",VALENTINE,NE,69201,Not Available,Not Available,11.1
PROVIDENCE MEDICAL CENTER,1200 PROVIDENCE RD,WAYNE,NE,68787,Not Available,13.4,12
ALEGENT HEALTH PLAINVIEW HOSPITAL,"P O BOX 489, 704 NORTH THIRD ST",PLAINVIEW,NE,68769,Not Available,Not Available,12.4
OSMOND GENERAL HOSPITAL,"P O BOX 429, 402 NORTH MAPLE ST",OSMOND,NE,68765,Not Available,Not Available,12
TRI VALLEY HEALTH SYSTEM,1305 WEST HIGHWAY 6/34,CAMBRIDGE,NE,69022,Not Available,11.1,9.7
PENDER COMMUNITY HOSPITAL,"P O BOX 100, 100 HOSPITAL DRIVE",PENDER,NE,68047,Not Available,13.6,12.8
JOHNSON COUNTY HOSPITAL,202 HIGH ST,TECUMSEH,NE,68450,Not Available,13.4,12.5
CHASE COUNTY COMMUNITY HOSPITAL,"P O BOX 819, 600 W 12TH ST",IMPERIAL,NE,69033,Not Available,Not Available,15.8
"COMMUNITY MEDICAL CENTER, INC","P O BOX 399, 2307 BARADA ST",FALLS CITY,NE,68355,Not Available,13.2,11
VALLEY COUNTY HEALTH SYSTEM,2707 L STREET,ORD,NE,68862,Not Available,13,11.2
CRETE AREA MEDICAL CENTER,"P O BOX 220, 2910 BETTEN DR",CRETE,NE,68333,Not Available,11.5,11.6
OGALLALA COMMUNITY HOSPITAL,2601 NORTH SPRUCE ST,OGALLALA,NE,69153,Not Available,11.3,11.9
PERKINS COUNTY HEALTH SERVICES,900 LINCOLN AVE,GRANT,NE,69140,Not Available,Not Available,11.9
SIDNEY REGIONAL MEDICAL CENTER,645 OSAGE ST,SIDNEY,NE,69162,Not Available,10.2,13.2
GORDON MEMORIAL HOSPITAL DISTRICT,300 EAST 8TH ST,GORDON,NE,69343,Not Available,Not Available,10.9
MEMORIAL COMMUNITY HOSPITAL,810 NORTH 22ND ST,BLAIR,NE,68008,Not Available,11.5,17.8
BOX BUTTE GENERAL HOSPITAL,"P O BOX 810, 2101 BOX BUTTE AVE",ALLIANCE,NE,69301,Not Available,11.2,9.5
LEXINGTON REGIONAL HEALTH CENTER,"P O BOX 980, 1201 NORTH ERIE ST",LEXINGTON,NE,68850,Not Available,12.8,10.2
PHELPS MEMORIAL HEALTH CENTER,1215 TIBBALS ST,HOLDREGE,NE,68949,Not Available,14.7,10.2
COMMUNITY HOSPITAL,"P O BOX 1328, 1301 EAST H ST",MCCOOK,NE,69001,Not Available,14.1,15.8
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC","P O BOX 278, 4800 HOSPITAL PARKWAY",BEATRICE,NE,68310,Not Available,12.4,15.5
JENNIE M MELHAM MEMORIAL MEDICAL CENTER,145 MEMORIAL DRIVE,BROKEN BOW,NE,68822,Not Available,11.8,12.1
CHILDREN'S HOSPITAL & MEDICAL CENTER,8200 DODGE ST,OMAHA,NE,68114,Not Available,Not Available,Not Available
RENOWN REGIONAL MEDICAL CENTER,1155 MILL STREET,RENO,NV,89502,14.2,13.8,15.3
SUNRISE HOSPITAL AND MEDICAL CENTER,3186 S MARYLAND PKWY,LAS VEGAS,NV,89109,13.4,9.7,15
NORTH VISTA HOSPITAL,1409 EAST LAKE MEAD BLVD,NORTH LAS VEGAS,NV,89030,14.9,11.4,10.9
BANNER CHURCHILL COMMUNITY HOSPITAL,801 EAST WILLIAMS AVENUE,FALLON,NV,89406,Not Available,12.1,12.9
UMC OF SOUTHERN NEVADA,1800 W CHARLESTON BLVD,LAS VEGAS,NV,89102,14.6,11.5,11.6
NORTHEASTERN NEVADA REGIONAL HOSPITAL,2001 ERRECART BLVD,ELKO,NV,89801,15.6,12.9,12.5
SAINT MARY'S REGIONAL MEDICAL CENTER,235 W 6TH ST,RENO,NV,89503,15.7,14.7,14.8
SAINT ROSE DOMINICAN HOSPITAL - DE LIMA,102 E LAKE MEAD DR,HENDERSON,NV,89015,15.8,11.7,14.8
CARSON TAHOE REGIONAL MEDICAL CENTER,1600 MEDICAL PARKWAY,CARSON CITY,NV,89703,16.4,14.7,15.3
NYE REGIONAL MEDICAL CENTER,825 ERIE MAIN ST (AKA SOUTH MAIN),TONOPAH,NV,89049,Not Available,Not Available,Not Available
VALLEY HOSPITAL MEDICAL CENTER,620 SHADOW LANE,LAS VEGAS,NV,89106,17.5,13.6,14.5
DESERT SPRINGS HOSPITAL,2075 EAST FLAMINGO ROAD,LAS VEGAS,NV,89119,20.1,13.5,13.7
VA SIERRA NEVADA HEALTHCARE SYSTEM,1000 LOCUST STREET,RENO                          ,NV,89502,14.9,10.8,11
NORTHERN NEVADA MEDICAL CENTER,2375 PRATER WAY,SPARKS,NV,89434,17.7,11.1,11.7
MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,17.1,9.6,10.7
SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89144,15.6,11.2,12.2
SAINT ROSE DOMINICAN HOSPITAL - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,89052,14.7,11.8,13.6
SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BLVD,LAS VEGAS,NV,89118,15.7,10.9,7.8
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,9300 WEST SUNSET,LAS VEGAS,NV,89148,15.4,10.4,10.9
RENOWN SOUTH MEADOWS MEDICAL CENTER,10101 DOUBLE R BLVD,RENO,NV,89521,Not Available,11.2,12.5
SIERRA SURGERY HOSPITAL,1400 MEDICAL PKWY,CARSON CITY,NV,89703,Not Available,Not Available,Not Available
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,8280 W WARM SPRINGS ROAD,LAS VEGAS,NV,89113,15.5,10.9,10.6
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 N DURANGO DR,LAS VEGAS,NV,89149,15.2,11.3,13.4
CARSON VALLEY MEDICAL CENTER,1107 HIGHWAY 395,GARDNERVILLE,NV,89410,Not Available,11.8,14.4
MESA VIEW REGIONAL HOSPITAL,1299 BERTHA HOWE AVENUE,MESQUITE,NV,89027,Not Available,10.8,10.8
HUMBOLDT GENERAL HOSPITAL,118 EAST HASKELL STREET,WINNEMUCCA,NV,89445,Not Available,Not Available,13.9
BOULDER CITY HOSPITAL,901 ADAMS BLVD,BOULDER CITY,NV,89005,Not Available,Not Available,14.5
DESERT VIEW REGIONAL MEDICAL CENTER,360 SOUTH LOLA LANE,PAHRUMP,NV,89048,Not Available,10.6,10.8
CONCORD HOSPITAL,250 PLEASANT ST,CONCORD,NH,3301,17,12,14.3
MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,LEBANON,NH,3756,13.6,11.2,13.4
LAKES REGION GENERAL HOSPITAL,80 HIGHLAND ST,LACONIA,NH,3246,18.4,14.2,15.7
ST JOSEPH HOSPITAL,172 KINSLEY ST,NASHUA,NH,3060,14.3,13.1,12.4
ELLIOT HOSPITAL,1 ELLIOT WAY,MANCHESTER,NH,3103,14.7,12.9,15.6
FRISBIE MEMORIAL HOSPITAL,11 WHITEHALL ROAD,ROCHESTER,NH,3867,14.7,10.7,10.7
PARKLAND MEDICAL CENTER,1 PARKLAND DRIVE,DERRY,NH,3038,15.1,10.9,11.5
WENTWORTH-DOUGLASS HOSPITAL,789 CENTRAL AVE,DOVER,NH,3820,14.6,10.9,10.8
CHESHIRE MEDICAL CENTER,580 COURT STREET,KEENE,NH,3431,15.9,11.2,11.9
SOUTHERN NH MEDICAL CENTER,8 PROSPECT STREET,NASHUA,NH,3060,15.6,11.5,10.8
EXETER HOSPITAL INC,5 ALUMNI DRIVE,EXETER,NH,3833,15.8,11.5,8.2
PORTSMOUTH REGIONAL HOSPITAL,333 BORTHWICK AVE,PORTSMOUTH,NH,3801,14.6,11.2,12.2
CATHOLIC MEDICAL CENTER,100 MCGREGOR STREET,MANCHESTER,NH,3102,12.3,11.1,11.5
UPPER CONNECTICUT VALLEY HOSPITAL,181 CORLISS LANE,COLEBROOK,NH,3576,Not Available,11.1,14.5
COTTAGE HOSPITAL,90 SWIFTWATER RD,WOODSVILLE,NH,3785,Not Available,12.3,13.1
LITTLETON REGIONAL HOSPITAL,600 ST JOHNSBURY ROAD,LITTLETON,NH,3561,Not Available,13.9,14.8
WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,3584,16.8,11.7,14.2
NEW LONDON HOSPITAL,273 COUNTY ROAD,NEW LONDON,NH,3257,Not Available,12.9,14.6
ALICE PECK DAY MEMORIAL HOSPITAL,125 MASCOMA ST,LEBANON,NH,3766,Not Available,Not Available,10.6
FRANKLIN REGIONAL HOSPITAL,15 AIKEN AVENUE,FRANKLIN,NH,3235,18.8,16.1,14.1
"MEMORIAL HOSPITAL, THE",3073 WHITE MOUNTAIN HIGHWAY,NORTH CONWAY,NH,3860,16,13.8,13.9
VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,3743,16.2,10.6,13.1
MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,3458,16,12.5,14.6
ANDROSCOGGIN VALLEY HOSPITAL,59 PAGE HILL ROAD,BERLIN,NH,3570,15.8,13,11.7
SPEARE MEMORIAL HOSPITAL,16 HOSPITAL ROAD,PLYMOUTH,NH,3264,Not Available,10.7,11.7
HUGGINS HOSPITAL,240 SOUTH MAIN STREET,WOLFEBORO,NH,3894,16.2,14.3,13.6
HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,11.9,9.8,9.7
NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,7112,14.7,9.6,11.2
PALISADES MEDICAL CTR-NY PRESBYTERIAN HEALTHCARE S,7600 RIVER RD,NORTH BERGEN,NJ,7047,12.7,8.5,11.7
HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,FLEMINGTON,NJ,8822,13.3,12.2,12.1
"ST MARY'S HOSPITAL, PASSAIC",350 BOULEVARD,PASSAIC,NJ,7055,15.4,11.8,14.1
HOLY NAME MEDICAL CENTER,718 TEANECK RD,TEANECK,NJ,7666,12,9.2,10.1
CLARA MAASS MEDICAL CENTER,ONE CLARA MAAS DRIVE,BELLEVILLE,NJ,7109,15.2,10,10.7
UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE-FIVE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,15.7,11.9,9.9
CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,8210,16.5,10.1,9.6
VALLEY HOSPITAL,223 N VAN DIEN AVENUE,RIDGEWOOD,NJ,7450,13.6,9,10.7
COOPER UNIVERSITY HOSPITAL,1 COOPER PLAZA,CAMDEN,NJ,8103,16.6,10.9,11.7
MORRISTOWN MEMORIAL HOSPITAL,100 MADISON AVE,MORRISTOWN,NJ,7962,12,11.1,9.8
CHRIST HOSPITAL,176 PALISADE AVE,JERSEY CITY,NJ,7306,15.4,12.5,13.8
CHILTON HOSPITAL,97 WEST PARKWAY,POMPTON PLAINS,NJ,7444,15.4,11.8,10.1
ST JOSEPH'S REGIONAL MEDICAL CENTER,703 MAIN ST,PATERSON,NJ,7503,16.8,10.9,13.1
VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE                   ,NJ,7018,Not Available,11.8,13.7
ST FRANCIS MEDICAL CENTER,601 HAMILTON AVE,TRENTON,NJ,8629,15.8,10.6,13.2
VIRTUA WEST JERSEY HOSPITALS BERLIN,WHITEHORSE PIKE AND TOWNSEND AVENUE,BERLIN,NJ,8009,14.6,10.8,10.6
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,865 STONE ST,RAHWAY,NJ,7065,20.5,12.6,12.6
BAYONNE HOSPITAL CENTER,29 EAST 29TH ST,BAYONNE,NJ,7002,13.8,11,12.9
TRINITAS REGIONAL MEDICAL CENTER,225 WILLIAMSON STREET,ELIZABETH,NJ,7207,18.2,13.1,14
NEWTON MEMORIAL HOSPITAL,175 HIGH ST,NEWTON,NJ,7860,16.9,10.9,10.2
OUR LADY OF LOURDES MEDICAL CENTER,1600 HADDON AVENUE,CAMDEN,NJ,8103,14.3,9,10
DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD,BROWNS MILLS,NJ,8015,16.2,8.9,13.4
SOUTH JERSEY HEALTHCARE REGIONAL MEDICAL CENTER,1505 W SHERMAN AVE,VINELAND,NJ,8360,13.2,11.5,14.1
RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,7701,14.6,11.7,9.8
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PL,NEW BRUNSWICK,NJ,8901,15.7,9.8,9.6
RARITAN BAY MEDICAL CENTER,530 NEW BRUNSWICK AVE,PERTH AMBOY,NJ,8861,16.1,10.5,9.7
HOBOKEN UNIVERSITY MEDICAL CENTER,308 WILLOW AVE,HOBOKEN,NJ,7030,15.2,8.7,12.3
COMMUNITY MEDICAL CENTER,99 RT 37 WEST,TOMS RIVER,NJ,8755,14.2,11.4,9.2
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,8534,14.4,9.3,13.4
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,350 ENGLE ST,ENGLEWOOD,NJ,7631,12.8,9.6,8.9
SHORE MEDICAL CENTER,1 EAST NEW YORK AVE,SOMERS POINT,NJ,8244,15.5,10.7,9.9
SOMERSET MEDICAL CENTER,110 REHILL AVE,SOMERVILLE,NJ,8876,17.7,14,12.7
SAINT CLARE'S HOSPITAL,25 POCONO ROAD,DENVILLE,NJ,7834,13.9,11.9,9.6
OVERLOOK HOSPITAL,99 BEAUVIOR AVE,SUMMIT,NJ,7902,13.8,12.1,10.5
OCEAN MEDICAL CENTER,425 JACK MARTIN BLVD,BRICK,NJ,8724,14.9,11.4,10.5
MOUNTAINSIDE HOSPITAL,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,15.2,10.4,10.6
VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,175 MADISON AVE,MOUNT HOLLY,NJ,8060,14.4,13.5,13.2
BERGEN REGIONAL MEDICAL CENTER,230 EAST RIDGEWOOD AVE,PARAMUS,NJ,7652,15.5,13.1,16
ST LUKE'S WARREN HOSPITAL,185 ROSEBERRY ST,PHILLIPSBURG,NJ,8865,15.5,10.6,12.3
LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,218A SUNSET ROAD,WILLINGBORO,NJ,8046,14.8,9.6,11.3
ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,1925 PACIFIC AVE,ATLANTIC CITY,NJ,8401,15.3,9.6,11.8
SOUTH JERSEY HEALTHCARE-ELMER HOSPITAL,501 WEST FRONT STREET,ELMER,NJ,8318,14.2,10.2,11
SAINT PETER'S UNIVERSITY HOSPITAL,254 EASTON AVE,NEW BRUNSWICK,NJ,8901,15.8,12.3,9.6
JERSEY SHORE UNIVERSITY MEDICAL CENTER,1945 RTE 33,NEPTUNE,NJ,7754,15.2,8.3,9.8
LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS,355 GRAND STREET,JERSEY CITY,NJ,7302,14.5,8.8,11.1
MONMOUTH MEDICAL CENTER,300 SECOND AVENUE,LONG BRANCH,NJ,7740,13.6,10.8,10.1
SAINT BARNABAS MEDICAL CENTER,94 OLD SHORT HILLS ROAD,LIVINGSTON,NJ,7039,14.3,9.9,10.1
UNDERWOOD - MEMORIAL HOSPITAL,509 N BROAD ST,WOODBURY,NJ,8096,12.7,11.3,11
EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVE,EAST ORANGE,NJ,7018,11.8,6.7,9.6
KIMBALL MEDICAL CENTER,600 RIVER AVE,LAKEWOOD,NJ,8701,14.4,10.5,9.5
KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,18 EAST LAUREL ROAD,STRATFORD,NJ,8084,16.7,10.7,10.8
MEMORIAL HOSPITAL OF SALEM COUNTY,310 WOODSTOWN ROAD,SALEM,NJ,8079,17.2,10,12.2
CAPITAL HEALTH SYSTEM-FULD CAMPUS,750 BRUNSWICK AVE,TRENTON,NJ,8638,17,12.4,10.6
"SAINT MICHAEL'S MEDICAL CENTER, INC",111 CENTRAL AVENUE,NEWARK,NJ,7102,16.7,8.1,13.1
JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,65 JAMES STREET,EDISON,NJ,8818,16.5,13.4,14.5
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,8690,16.1,11,13.5
CENTRASTATE MEDICAL CENTER,901 WEST MAIN STREET,FREEHOLD,NJ,7728,15.1,8.9,11.9
BAYSHORE COMMUNITY HOSPITAL,727 N BEERS ST,HOLMDEL,NJ,7733,15.1,10,11.5
SOUTHERN OCEAN MEDICAL CENTER,1140 RT 72 W,MANAHAWKIN,NJ,8050,15.3,12.5,11.5
HACKETTSTOWN REGIONAL MEDICAL CENTER,651 WILLOW GROVE ST,HACKETTSTOWN,NJ,7840,12.4,10.5,10.1
MEADOWLANDS HOSPITAL MEDICAL CENTER,55 MEADOWLANDS PKWY,SECAUCUS,NJ,7094,14.7,10,12.6
UMDNJ UNIVERSITY HOSPITAL,150 BERGEN ST,NEWARK,NJ,7103,15.7,11.7,9.9
SAINT CLARE'S HOSPITAL/SUSSEX,20 WALNUT ST,SUSSEX,NJ,7461,15.8,12.9,11.6
UNM HOSPITAL,2211 LOMAS BOULEVARD NE,ALBUQUERQUE,NM,87106,15.6,13.2,16.9
ST VINCENT HOSPITAL,455 ST MICHAEL'S DRIVE,SANTA FE,NM,87505,13.9,10.7,11.6
ALTA VISTA REGIONAL HOSPITAL,104 LEGION AVE,LAS VEGAS,NM,87701,Not Available,11,11.7
GERALD CHAMPION REGIONAL MEDICAL CENTE,2669 NORTH SCENIC DRIVE,ALAMOGORDO,NM,88310,17,10.4,13.3
SAN JUAN REGIONAL MEDICAL CENTER,801 WEST MAPLE STREET,FARMINGTON,NM,87401,15,15.6,12
EASTERN NEW MEXICO MEDICAL CENTER,405 W COUNTRY CLUB RD,ROSWELL,NM,88201,18.2,11.1,11.8
LOVELACE MEDICAL CENTER,601 DR MARTIN LUTHER KING JR AVE NE,ALBUQUERQUE,NM,87102,16.8,11.8,12.2
ESPANOLA HOSPITAL,1010 SPRUCE STREET,ESPANOLA,NM,87532,Not Available,11,11.2
HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,1397 WEIMER ROAD,TAOS,NM,87571,Not Available,10.9,11.6
MIMBRES MEMORIAL HOSPITAL,900 W ASH,DEMING,NM,88031,Not Available,11.9,12.7
GILA REGIONAL MEDICAL CENTER,1313 E 32ND ST,SILVER CITY,NM,88061,Not Available,10.8,13.1
LOVELACE WOMEN'S HOSPITAL,4701 MONTGOMERY BOULEVARD NE,ALBUQUERQUE,NM,87109,Not Available,10.9,13.5
MEMORIAL MEDICAL CENTER INC,2450 SOUTH TELSHOR BLVD,LAS CRUCES,NM,88011,15.6,12.7,11
PRESBYTERIAN HOSPITAL,1100 CENTRAL AVENUE SE,ALBUQUERQUE,NM,87106,15.7,11,12.6
PLAINS REGIONAL MEDICAL CENTER  CLOVIS,"2100 MARTIN LUTHER KING, JR, BLVD",CLOVIS,NM,88101,16,14,14
